Date,Total,cogs
01/01/2019,2371.32,2258.4
01/02/2019,307.05,292.43
01/03/2019,937.41,892.77
01/04/2019,483.26,460.25
01/05/2019,2024.51,1928.1
01/06/2019,1309.97,1247.59
01/07/2019,1105.95,1053.29
01/08/2019,683.46,650.91
01/09/2019,202.34,192.7
01/10/2019,731.49,696.66
01/11/2019,1661.67,1582.54
01/12/2019,1429.04,1360.99
01/13/2019,1112.4,1059.43
01/14/2019,1096.09,1043.9
01/15/2019,1806.66,1720.63
01/16/2019,863.06,821.96
01/17/2019,1502.22,1430.69
01/18/2019,1159.83,1104.6
01/19/2019,3254.49,3099.51
01/20/2019,1724.96,1642.82
01/21/2019,1591.74,1515.94
01/22/2019,802.27,764.07
01/23/2019,2361.31,2248.87
01/24/2019,2459.18,2342.08
01/25/2019,913.83,870.31
01/26/2019,415,395.24
01/27/2019,1674.28,1594.55
01/28/2019,287.86,274.15
01/29/2019,1524.91,1452.3
01/30/2019,295.41,281.34
01/31/2019,588.16,560.15
02/01/2019,911.94,868.51
02/02/2019,1019.96,971.39
02/03/2019,2717.36,2587.96
02/04/2019,1239.39,1180.37
02/05/2019,568.43,541.36
02/06/2019,423.19,403.04
02/07/2019,2066.61,1968.2
02/08/2019,1694.35,1613.67
02/09/2019,598.08,569.6
02/10/2019,1022.67,973.97
02/11/2019,650.24,619.28
02/12/2019,557.12,530.59
02/13/2019,216.11,205.82
02/14/2019,1072.82,1021.73
02/15/2019,1223.21,1164.96
02/16/2019,182.43,173.74
02/17/2019,3070.96,2924.72
02/18/2019,931.75,887.38
02/19/2019,2063.32,1965.07
02/20/2019,903.03,860.03
02/21/2019,298.12,283.92
02/22/2019,509.17,484.92
02/23/2019,308.57,293.88
02/24/2019,522.86,497.96
02/25/2019,1806.34,1720.32
02/26/2019,156.1,148.67
02/27/2019,2441.7,2325.43
02/28/2019,684.31,651.72
03/01/2019,644.22,613.54
03/02/2019,641.46,610.91
03/03/2019,814.52,775.73
03/04/2019,2851.79,2715.99
03/05/2019,418.69,398.75
03/06/2019,1033.33,984.12
03/07/2019,368.69,351.13
03/08/2019,1592.27,1516.45
03/09/2019,2780.19,2647.8
03/10/2019,1479.2,1408.76
03/11/2019,1711.17,1629.69
03/12/2019,923.45,879.48
03/13/2019,788.11,750.58
03/14/2019,1751.61,1668.2
03/15/2019,644.46,613.77
03/16/2019,1042.7,993.05
03/17/2019,1133.03,1079.08
03/18/2019,389.61,371.06
03/19/2019,1892.13,1802.03
03/20/2019,2372.46,2259.49
03/21/2019,1308.73,1246.41
03/22/2019,2128.06,2026.72
03/23/2019,1748.38,1665.12
03/24/2019,424.62,404.4
03/25/2019,577.12,549.64
03/26/2019,1187.34,1130.8
03/27/2019,1060.63,1010.12
03/28/2019,1652.93,1574.22
03/29/2019,977.61,931.06
03/30/2019,1320.62,1257.73
