Date,Total,cogs
01/01/2019,470.673,448.26
01/02/2019,359.205,342.1
01/03/2019,98.049,93.38
01/04/2019,75.7785,72.17
01/05/2019,334.341,318.42
01/06/2019,261.198,248.76
01/07/2019,614.943,585.66
01/08/2019,783.3,746
01/09/2019,99.54,94.8
01/10/2019,703.752,670.24
01/12/2019,120.162,114.44
01/13/2019,125.706,119.72
01/14/2019,536.991,511.42
01/15/2019,590.436,562.32
01/16/2019,53.928,51.36
01/17/2019,91.056,86.72
01/18/2019,166.236,158.32
01/19/2019,333.207,317.34
01/20/2019,112.224,106.88
01/21/2019,103.036,98.13
01/22/2019,351.603,334.86
01/24/2019,423.15,403
01/25/2019,463.89,441.8
01/26/2019,304.542,290.04
01/27/2019,403.872,384.64
01/28/2019,737.761,702.63
01/29/2019,137.004,130.48
01/30/2019,99.33,94.6
01/31/2019,285.705,272.1
02/01/2019,426.89,578.2
02/02/2019,788.508,750.96
02/03/2019,520.411,495.63
02/04/2019,734.076,699.12
02/05/2019,34.629,32.98
02/06/2019,60.816,57.92
02/07/2019,208.089,198.18
02/08/2019,35.196,33.52
02/09/2019,256.41,244.2
02/10/2019,119.259,113.58
02/11/2019,242.676,231.12
02/12/2019,796.908,758.96
02/13/2019,155.19,147.8
02/14/2019,318.108,302.96
02/15/2019,535.374,509.88
02/16/2019,545.055,519.1
02/17/2019,550.935,524.7
02/18/2019,30.996,29.52
02/19/2019,470.988,448.56
02/20/2019,172.746,164.52
02/21/2019,310.044,295.28
02/22/2019,208.688,198.75
02/23/2019,125.664,119.68
02/24/2019,365.085,347.7
02/25/2019,494.182,470.65
02/26/2019,571.41,544.2
02/27/2019,535.721,510.21
02/28/2019,431.445,410.9
03/01/2019,86.625,82.5
03/02/2019,942.448,897.57
03/03/2019,253.008,240.96
03/04/2019,181.818,173.16
03/05/2019,277.137,263.94
03/06/2019,603.624,574.88
03/07/2019,33.936,32.32
03/08/2019,92.5575,88.15
03/09/2019,107.142,102.04
03/10/2019,180.621,172.02
03/11/2019,84.63,80.6
03/12/2019,608.202,579.24
03/13/2019,160.86,153.2
03/14/2019,402.266,383.11
03/15/2019,69.72,66.4
03/16/2019,78.7185,74.97
03/17/2019,343.413,327.06
03/18/2019,314.055,299.1
03/19/2019,223.072,212.45
03/20/2019,484.89,461.8
03/21/2019,207.858,197.96
03/22/2019,75.054,71.48
03/23/2019,384.468,366.16
03/24/2019,130.042,123.85
03/25/2019,195.951,186.62
03/26/2019,41.076,39.12
03/27/2019,588.357,560.34
03/28/2019,95.6655,91.11
03/29/2019,922.635,878.7
03/30/2019,918.729,874.98
