Unit Price,Quantity,Tax,Total,COGS,Gross Income,Rating,Gender
74.69,7,26.1415,548.971,522.83,26.1415,9.1,Female
46.33,7,16.2155,340.526,324.31,16.2155,7.4,Male
58.22,8,23.288,489.048,465.76,23.288,8.4,Male
86.31,7,30.2085,634.378,604.17,30.2085,5.3,Male
68.84,6,20.652,433.692,413.04,20.652,5.8,Female
36.26,2,3.626,76.146,72.52,3.626,7.2,Female
46.95,5,11.7375,246.488,234.75,11.7375,7.1,Female
43.19,10,21.595,453.495,431.9,21.595,8.2,Male
71.38,10,35.69,749.49,713.8,35.69,5.7,Female
68.93,7,24.1255,506.635,482.51,24.1255,4.6,Female
72.61,6,21.783,457.443,435.66,21.783,6.9,Male
54.67,3,8.2005,172.21,164.01,8.2005,8.6,Male
34.56,5,8.64,181.44,172.8,8.64,9.9,Male
88.63,3,13.2945,279.185,265.89,13.2945,6,Male
52.59,8,21.036,441.756,420.72,21.036,8.5,Female
87.67,2,8.767,184.107,175.34,8.767,7.7,Female
24.89,9,11.2005,235.21,224.01,11.2005,7.4,Male
96.58,2,9.658,202.818,193.16,9.658,5.1,Male
62.62,5,15.655,328.755,313.1,15.655,7,Male
60.88,9,27.396,575.316,547.92,27.396,4.7,Female
44.59,5,11.1475,234.098,222.95,11.1475,8.5,Female
44.34,2,4.434,93.114,88.68,4.434,5.8,Male
89.6,8,35.84,752.64,716.8,35.84,6.6,Male
72.35,10,36.175,759.675,723.5,36.175,5.4,Female
15.81,10,7.905,166.005,158.1,7.905,8.6,Male
15.87,10,7.935,166.635,158.7,7.935,5.8,Male
78.77,10,39.385,827.085,787.7,39.385,6.4,Male
18.33,1,0.9165,19.2465,18.33,0.9165,4.3,Female
74.67,9,33.6015,705.631,672.03,33.6015,9.4,Male
20.01,9,9.0045,189.094,180.09,9.0045,5.7,Female
49.38,7,17.283,362.943,345.66,17.283,7.3,Male
42.47,1,2.1235,44.5935,42.47,2.1235,5.7,Male
21.98,7,7.693,161.553,153.86,7.693,5.1,Female
97.16,1,4.858,102.018,97.16,4.858,7.2,Male
52.75,3,7.9125,166.163,158.25,7.9125,9.3,Male
58.26,6,17.478,367.038,349.56,17.478,9.9,Male
88.67,10,44.335,931.035,886.7,44.335,7.3,Male
62.13,6,18.639,391.419,372.78,18.639,7.4,Male
58.07,9,26.1315,548.761,522.63,26.1315,4.3,Male
10.96,10,5.48,115.08,109.6,5.48,6,Female
99.56,8,39.824,836.304,796.48,39.824,5.2,Female
93.69,7,32.7915,688.622,655.83,32.7915,4.5,Female
32.25,5,8.0625,169.312,161.25,8.0625,9,Female
92.13,6,27.639,580.419,552.78,27.639,8.3,Female
26.31,5,6.5775,138.128,131.55,6.5775,8.8,Female
34.42,6,10.326,216.846,206.52,10.326,9.8,Female
72.5,8,29,609,580,29,9.2,Male
77.95,6,23.385,491.085,467.7,23.385,8,Female
