Unit Price,Quantity,Tax,Total,COGS,Gross Income,Rating,Gender
54.84,3,8.226,172.746,164.52,8.226,5.9,Female
14.48,4,2.896,60.816,57.92,2.896,4.5,Female
25.51,4,5.102,107.142,102.04,5.102,6.8,Male
93.72,6,28.116,590.436,562.32,28.116,4.5,Female
40.3,2,4.03,84.63,80.6,4.03,4.4,Female
87.98,3,13.197,277.137,263.94,13.197,5.1,Male
33.2,2,3.32,69.72,66.4,3.32,4.4,Male
33.52,1,1.676,35.196,33.52,1.676,6.7,Male
88.36,5,22.09,463.89,441.8,22.09,9.6,Female
94.13,5,23.5325,494.182,470.65,23.5325,4.8,Male
78.07,9,35.1315,737.761,702.63,35.1315,4.5,Male
83.78,8,33.512,703.752,670.24,33.512,5.1,Male
30.12,8,12.048,253.008,240.96,12.048,7.7,Male
86.72,1,4.336,91.056,86.72,4.336,7.9,Female
69.12,6,20.736,435.456,414.72,20.736,5.6,Female
93.96,4,18.792,394.632,375.84,18.792,9.5,Female
56.69,9,25.5105,535.721,510.21,25.5105,8.4,Male
20.01,9,9.0045,189.094,180.09,9.0045,4.1,Female
18.93,6,5.679,119.259,113.58,5.679,8.1,Male
17.87,4,3.574,75.054,71.48,3.574,6.5,Female
16.16,2,1.616,33.936,32.32,1.616,6.5,Male
55.07,9,24.7815,520.411,495.63,24.7815,10,Female
75.74,4,15.148,318.108,302.96,15.148,7.6,Male
97.61,6,29.283,614.943,585.66,29.283,9.9,Female
48.52,3,7.278,152.838,145.56,7.278,4,Female
96.68,3,14.502,304.542,290.04,14.502,6.4,Female
76.99,6,23.097,485.037,461.94,23.097,6.1,Female
64.36,9,28.962,608.202,579.24,28.962,8.6,Male
87.87,10,43.935,922.635,878.7,43.935,5.1,Male
82.7,6,24.81,521.01,496.2,24.81,7.4,Male
30.35,7,10.6225,223.072,212.45,10.6225,8,Male
16.49,2,1.649,34.629,32.98,1.649,4.6,Female
72.84,7,25.494,535.374,509.88,25.494,8.4,Female
21.94,5,5.485,115.185,109.7,5.485,5.3,Male
51.36,1,2.568,53.928,51.36,2.568,5.2,Male
53.44,2,5.344,112.224,106.88,5.344,4.1,Male
99.96,9,44.982,944.622,899.64,44.982,4.2,Male
56.47,8,22.588,474.348,451.76,22.588,7.3,Female
90.28,9,40.626,853.146,812.52,40.626,7.2,Female
39.62,7,13.867,291.207,277.34,13.867,7.5,Female
34.84,4,6.968,146.328,139.36,6.968,7.4,Female
87.45,6,26.235,550.935,524.7,26.235,8.8,Male
51.91,10,25.955,545.055,519.1,25.955,8.2,Male
71.86,8,28.744,603.624,574.88,28.744,6.2,Male
91.54,4,18.308,384.468,366.16,18.308,4.8,Female
