Date,Yangon,Mandalay,Naypyitaw
1,2258.40,1463.52,797.30
2,292.43,1107.43,453.00
3,892.77,968.28,118.12
4,460.25,486.27,599.85
5,1928.10,463.58,976.59
6,1247.59,972.99,1221.52
7,1053.29,1278.01,367.98
8,650.91,2103.76,2286.98
9,192.70,160.50,2524.27
10,696.66,1284.38,1410.34
11,1582.54,2202.04,431.71
12,1360.99,1532.65,1374.84
13,1059.43,2726.06,574.95
14,1043.90,843.38,1599.08
15,1720.63,945.87,1214.51
16,821.96,263.20,2419.50
17,1430.69,603.32,616.54
18,1104.60,219.32,1280.27
19,3099.51,98.13,977.86
20,1642.82,479.16,1619.24
21,1515.94,2484.70,664.12
22,764.07,1525.00,380.36
23,2248.87,3050.74,3459.88
24,2342.08,874.74,318.03
25,870.31,2981.31,2081.23
26,395.24,901.48,799.27
27,1594.55,433.96,1945.85
28,274.15,2649.79,1506.17
29,1452.30,310.66,995.33
30,281.34,723.52,1721.14
31,560.15,3061.73,1773.39
32,868.51,988.09,1459.62
33,971.39,1004.33,1439.72
34,2587.96,942.52,1631.50
35,1180.37,1029.21,138.63
36,541.36,2593.63,1402.91
37,403.04,1671.86,1334.82
38,1968.20,995.35,2322.18
39,1613.67,655.58,1557.00
40,569.60,1759.93,1551.14
41,973.97,1402.24,1361.90
42,619.28,888.87,1946.65
43,530.59,3402.15,923.35
44,205.82,1179.76,373.27
45,1021.73,810.62,591.98
46,1164.96,29.52,2278.82
47,173.74,448.56,1031.04
48,2924.72,1631.24,1311.87
49,887.38,415.01,507.89
50,1965.07,1116.79,1613.15
51,860.03,1168.24,86.27
52,283.92,726.68,628.44
53,484.92,2379.19,724.30
54,293.88,1938.45,766.06
55,497.96,1798.46,1368.18
56,1720.32,471.20,478.81
57,148.67,403.70,206.37
58,2325.43,1918.09,1456.54
59,651.72,1666.45,874.24
60,613.54,1727.38,1006.51
61,610.91,173.16,2234.85
62,775.73,3371.43,2118.96
63,2715.99,1924.21,819.84
64,398.75,283.72,2163.99
65,984.12,88.15,37.00
66,351.13,2863.32,734.92
67,1516.45,325.01,1371.96
68,2647.80,460.32,1607.02
69,1408.76,1326.09,1278.83
70,1629.69,700.10,730.23
71,879.48,1134.75,1296.86
72,750.58,801.23,811.06
73,1668.20,428.58,3284.79
74,613.77,431.46,522.08
75,993.05,571.05,1209.98
76,1079.08,1603.63,374.52
77,371.06,197.96,428.75
78,1802.03,1001.04,3093.96
79,2259.49,366.16,1335.17
80,1246.41,1490.27,343.74
81,2026.72,398.18,1868.76
82,1665.12,286.86,1417.20
83,404.40,856.09,1216.91
84,549.64,91.11,451.40
85,1130.80,1961.84,898.38
86,1010.12,1642.34,457.91
