Date,Yangon,Mandalay,Naypyitaw
1.00,2371.319984,1536.695999,837.1649933
2.00,307.051506,1162.801483,475.6500092
3.00,937.408493,1016.693993,124.0260048
4.00,483.2625122,510.5835114,629.8425293
5.00,2024.505005,486.7590027,1025.419498
6.00,1309.969519,1021.639526,1282.595978
7.00,1105.954483,1341.910492,386.3789978
8.00,683.4554996,2208.947952,2401.329041
9.00,202.3350067,168.5250015,2650.483521
10.00,731.4930038,1348.599022,1480.856964
11.00,1661.666985,2312.142006,453.2954865
12.00,1429.039474,1609.282486,1443.582001
13.00,1112.401505,2862.362976,603.6975098
14.00,1096.094971,885.5490341,1679.034012
15.00,1806.661469,993.1635132,1275.235535
16.00,863.0579987,276.359993,2540.475037
17.00,1502.224518,633.4860077,647.3669891
18.00,1159.829987,230.2859955,1344.283485
19.00,3254.485512,103.036499,1026.753006
20.00,1724.960968,503.1179962,1700.202011
21.00,1591.737,2608.935013,697.3259735
22.00,802.273468,1601.250011,399.378006
23.00,2361.313488,3203.277023,3632.87402
24.00,2459.184013,918.4769897,333.9315071
25.00,913.8255234,3130.375429,2185.291496
26.00,415.0020084,946.5540161,839.2334976
27.00,1674.277519,455.6580048,2043.142502
28.00,287.8574982,2782.279488,1581.478516
29.00,1524.914993,326.1930008,1045.096481
30.00,295.4070129,759.6960144,1807.196966
31.00,588.1575165,3214.816559,1862.059525
32.00,911.9354935,1037.494499,1532.601044
33.00,1019.959497,1054.546486,1511.706028
34.00,2717.357971,989.6459694,1713.074997
35.00,1239.388535,1080.670509,145.5615072
36.00,568.4280052,2723.311508,1473.055496
37.00,423.1920013,1755.452988,1401.561005
38.00,2066.61002,1045.117508,2438.288974
39.00,1694.353518,688.359024,1634.850006
40.00,598.0799942,1847.926483,1628.697033
41.00,1022.668518,1472.352009,1429.99501
42.00,650.2440033,933.3134689,2043.982483
43.00,557.1195068,3572.257492,969.5174866
44.00,216.1110001,1238.747993,391.9334965
45.00,1072.816521,851.151001,621.5789948
46.00,1223.207993,30.99600029,2392.761002
47.00,182.427002,470.9880066,1082.591969
48.00,3070.956032,1712.802002,1377.463497
49.00,931.7490005,435.7605057,533.2844887
50.00,2063.323471,1172.62949,1693.80748
51.00,903.0314789,1226.652008,90.58350372
52.00,298.1159973,763.0139923,659.8619919
53.00,509.1659927,2498.149487,760.5150013
54.00,308.5740051,2035.372452,804.362999
55.00,522.8580093,1888.383026,1436.588993
56.00,1806.335968,494.760006,502.7504921
57.00,156.1034966,423.8850021,216.6885071
58.00,2441.701462,2013.994522,1529.366943
59.00,684.3059998,1749.772541,917.9519958
60.00,644.2170105,1813.749023,1056.83548
61.00,641.455513,181.8179932,2346.592497
62.00,814.51651,3540.00153,2224.907974
63.00,2851.789474,2020.420532,860.8320179
64.00,418.6875,297.906002,2272.189537
65.00,1033.326012,92.55750275,38.84999847
66.00,368.6864929,3006.485992,771.6660004
67.00,1592.272514,341.2605095,1440.557983
68.00,2780.18998,483.3359909,1687.370977
69.00,1479.198021,1392.394531,1342.771484
70.00,1711.17453,735.1050034,766.7415009
71.00,923.4539948,1191.487522,1361.703003
72.00,788.1089935,841.2914963,851.6130028
73.00,1751.609978,450.0089951,3449.029518
74.00,644.4584808,453.0329895,548.184021
75.00,1042.702515,599.6024933,1270.479027
76.00,1133.033966,1683.811554,393.2459946
77.00,389.6130066,207.8580017,450.1875038
78.00,1892.131498,1051.09201,3248.657997
79.00,2372.46447,384.4679871,1401.928528
80.00,1308.73053,1564.783463,360.927002
81.00,2128.05603,418.0890045,1962.197998
82.00,1748.376003,301.2029991,1488.059982
83.00,424.6199951,898.8944931,1277.755524
84.00,577.1220055,95.66549683,473.9700012
85.00,1187.339977,2059.932037,943.2990112
86.00,1060.625992,1724.457016,480.8054962
